file,line,col,severity,message,code
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_1_core_perception/d5_1_perception_board.py,8,,error,Invalid type comment or annotation,valid-type
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_10_test_routes.py,15,,error,"Untyped decorator makes function ""run_tests"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_10_test_routes.py,40,,error,"Untyped decorator makes function ""list_test_files"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_10_test_routes.py,56,,error,"Untyped decorator makes function ""run_single_test"" untyped",untyped-decorator
serin/d1_2_gateway_io/d2_2_voice_system/d3_2_bridge_io/d4_4_process_watch.py,489,,error,"Returning Any from function declared to return ""str""",no-any-return
serin/d1_2_gateway_io/d2_2_voice_system/d3_2_bridge_io/d4_4_process_watch.py,495,,error,"Returning Any from function declared to return ""str""",no-any-return
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,17,,error,"Untyped decorator makes function ""trigger_manual_sync"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,30,,error,"Untyped decorator makes function ""get_crawler_status"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,40,,error,"Untyped decorator makes function ""get_background_queue"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,47,,error,"Untyped decorator makes function ""clear_background_queue"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,69,,error,"Untyped decorator makes function ""get_recent_logs"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,82,,error,"Untyped decorator makes function ""get_db_health"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,103,,error,"Untyped decorator makes function ""restart_bot"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,113,,error,"Untyped decorator makes function ""get_uptime"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,13,,error,"Untyped decorator makes function ""get_personality_state"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,36,,error,"Untyped decorator makes function ""update_mood"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,63,,error,"Untyped decorator makes function ""get_conversation_analysis"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,78,,error,"Untyped decorator makes function ""get_topic_fatigue"" untyped",untyped-decorator
