file,line,test_id,severity,confidence
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_1_act_runners/d4_3_prompt_assembly.py,437,B110,Low,High
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_2_act_stages/d4_3_memory_write.py,49,B110,Low,High
serin/d1_2_gateway_io/d2_1_io_discord/d3_1_pipeline_init/__init__.py,327,B110,Low,High
serin/d1_2_gateway_io/d2_1_io_discord/d3_1_pipeline_init/__init__.py,339,B110,Low,High
serin/d1_2_gateway_io/d2_1_io_discord/d3_2_discord_bot.py,188,B110,Low,High
serin/d1_2_gateway_io/d2_2_voice_system/d3_2_bridge_io/d4_4_process_watch.py,496,B110,Low,High
serin/d1_3_state_core/d2_2_core_memory/d3_3_belief_dynamics.py,190,B608,Medium,Medium
serin/d1_5_ops_tooling/d2_1_control_panel/d3_1_panel_panels/d4_2_voice_routes/d5_5_voice_ops.py,109,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/__init__.py,101,B102,Medium,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,189,B608,Medium,Medium
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_8_ops_routes.py,134,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,31,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,304,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,505,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,530,B110,Low,High
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,550,B110,Low,High
serin/d1_5_ops_tooling/d2_2_tooling_background.py,488,B110,Low,High
