file,line,description,confidence
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_1_act_runners/d4_3_prompt_assembly.py,23,unused function '_time_label',60
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_2_act_stages/d4_1_decision_temporal.py,217,unused attribute 'temporal_refs',60
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_2_act_stages/d4_1_decision_temporal.py,224,unused attribute 'temporal_refs',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,43,unused variable 'query_time_hint',100
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,153,unused method '_search_with_time_range',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,254,unused method 'resolve_referents',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,288,unused method 'extract_time_reference_from_query',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,94,unused method 'should_react_to_length',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,123,unused method 'get_length_reaction',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,143,unused method 'should_add_length_note_to_context',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,150,unused method 'get_context_note',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,108,unused method 'restore_for_discord',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,177,unused method 'get_user_info',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,189,unused method 'get_user_id',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_2_core_vision/d5_1_visual_memory.py,103,unused method 'analyze_image',60
